id	text	class	predict_begin	predict_end	predict_span	predict_label
SMM4H2022UsOrVPnHjHXTdciW	i think my xarelto is causing bruising...it might be an adverse reaction....smh	ADE	30	38	bruising	10022052
SMM4H2022nqSx5YKgncBmaJ40	“@USER_________: Adderall had me staring at myself in the mirror for an hour straight” me normally	ADE	22	39	staring at myself	10058975
SMM4H20227fgc68K2dIAbvPLj	@USER________ advair really messes you up jesus . all of these asthmatic kids ripping their clothes off...	ADE	68	93	ripping their clothes off	10075349
SMM4H20226SwdPJeIwdtgHNlJ	How tf does my body handle vyvanse and adderall almost everyday, but a drop of caffeine makes me feel like I am going to die???	ADE	96	123	feel like i am going to die	10000173
SMM4H2022grb3peMyLn0aZM4G	really should start taking my medication again its taken me almost 2 hours to straighten my hair vyvanse where u at	ADE	78	96	straighten my hair	10019044
SMM4H2022PkLf7iWoae4WnahZ	Whose bright idea was it to stop taking the NuvaRing.?  Oh that's right, mine.  These cramps are the price I pay for that lmao.	ADE	80	86	cramps	10000081
SMM4H2022VA0lFurlV5FcCmyJ	after my embarrassing sweaty incident during the show yesterday, i looked it up, and whaddayaknow, sweating is a metoprolol side effect. ew.	ADE	22	104	sweaty incident during the show yesterday i looked it up and whaddayaknow sweating	10020642
SMM4H2022T4xOdFkQosP6NHaC	metformin is so weird cause it's the most energized i've felt in awhile but i'm also always lightheaded	ADE	92	103	lightheaded	10069147
SMM4H20227boRJh6GFoGsF3Sk	johnny i was addicted to xanax in high school its a miracle i still remember my own name lol	ADE	13	76	addicted to xanax in high school its a miracle i still remember	10000009
SMM4H20222krXvnYPV9QfSjWh	@USER______ It's very short (24 pages) and it's free on my Kindle Prime. I'll try again now. I wish there was a benzo withdrawal book that wasn't so freaking scary. I stopped temazepam 30 mg cold turkey last May and nothing bad happened, but still on 1 mg Klonopin daily.	ADE	108	118	withdrawal	10061621
SMM4H20224R9sQnvkX9I7VZAX	diclofenac makes me sick, naproxen makes me depressed and ibuprofen isn't a long term solution.	ADE	20	24	sick	10015549
SMM4H2022BLaO11F6PBtc2siW	started taking metformin and been throwing up constantly 😷😟	ADE	34	45	throwing up	10040960
SMM4H2022s0qpuic35LSW4til	@USER____ idk of any. just went from tysabri to aubagio though. tysabri was making it so i kept getting the shingles. doing ok on new med.	ADE	98	110	the shingles	10001443
SMM4H20227HrpD4eKixKkdJzv	enbrel causes weird dreams. dreamed i was hanging out with a group of young gay men who were obsessed with obtaining perfect dark skin +	ADE	14	133	weird dreams dreamed i was hanging out with a group of young gay men who were obsessed with obtaining perfect dark skin	10000125
SMM4H2022ZC9i6G9IQAgp3sPy	@USER___________ metformin gives me a bad tummy but im on it for the forseable future	ADE	31	36	tummy	10039453
SMM4H2022uRKWYu44Bz2xGHTy	@USER___ aft 5 yrs following dr's presc of 2 vioxx &amp; 2 #oxycontin/day began to notice personality changes. new dr said only tylenol - normal	ADE	84	103	personality changes	10001443
SMM4H2022M5W38tQa99CiPRS3	@USER_______ noted and just thought to put reminder in my ical. doh. my neurontin memory side effects are showing &amp; bleah gall bladder too.	ADE	115	127	gall bladder	10004986
SMM4H2022efGJKGD8nExIEIhR	Day 3 of being laid up is coming to a close and I think I've already developed a codeine tolerance. Down to 45-60mins relief per dose.	ADE	89	98	tolerance	10018429
SMM4H2022SsDRFvvHQ72T9yH3	@USER_______ luckily i had spare keppra and vimpat on me phew! i was given lorazapam for status a few months ago.. lost 3 days of my life!	ADE	105	127	lost 3 days of my life	10061428
SMM4H20226XAgyMzjvduMDysd	i am on gabapentin and i feel drunk. and it is hideous. drunk is not something i enjoy. the irony oh the irony. #cld	ADE	30	35	drunk	10016330
SMM4H2022BDRlkCz1Za7LIROE	took my nuvaring out and instantly got cramps	ADE	39	45	cramps	10000081
SMM4H20224gHYVb4cCdRqZQkV	the dreams i have while on oxycodone are inane and way too real! #postopprobs #painmeds #crazydreams	ADE	4	10	dreams	10000125
SMM4H2022Nxslx2I1hINpQkoO	saphris gives me a mad appetite omg i jate this	ADE	19	31	mad appetite	10002368
SMM4H2022DBvZyNTL93kxdnNj	@USER_____ fibro flares floor me so i can empathise with you on that. doc put me on lyrica 18mths ago n iv put 5st on n lost my memory.	ADE	12	128	flares floor me so i can empathise with you on that doc put me on lyrica 18mths ago n iv put 5st on n lost my memory	10031000
SMM4H2022wjqmynj1AA27MYUw	you are the buprenorphine to my opioid withdrawals. hahaha :p	ADE	32	50	opioid withdrawals	10013663
SMM4H2022xalCyNWv07BQz9O9	my doggo is on a diuretic pill to help keep fluid out of her lungs and stuff and  so it makes her drink more which also means she has to pee more and obviously i'm thankful she's on a medication that can help but oh my lord she pees so much now daslkhglsadhg	ADE	136	158	pee more and obviously	10004637
SMM4H2022DvzTYDUlfMIvxSbH	my bowels are being annoying today is it the iron or the period or my diet or the prozac or what either way i hate it and im embarrassed thank you	ADE	3	9	bowels	10012735
SMM4H20220sD1HwRFGvwkezbi	i feel like the nuvaring is making me super bitchy	ADE	44	50	bitchy	10038799
SMM4H2022RGSiPodnuZPLDh5v	tamiflu fucking sucks. two years ago we were the some of the first people to take it and it makes you feel worse	ADE	101	111	feel worse	10000173
SMM4H2022NBsyG5dH3rrbVAUt	probably a month ago after i started taking the viibryd i began tumbling out of dreams into a half conscious state	ADE	64	114	tumbling out of dreams into a half conscious state	10000125
SMM4H2022M8AYElg2hJ7MYDVx	ah yes the sudofed and ventolin jitters. the world is made of jelly and i'm the spoon. #trippinballz.	ADE	32	39	jitters	10028686
SMM4H2022Uf0Oxd3mi4fNoV2a	Too many doctors refuse to listen, even to doctors.  Dr. Duane Graveline, astronaut, aerospace medical research scientist, flight surgeon, & family doctor was given Lipitor to  his cholesterol & temporarily lost his s-t memory. HTTPURL______________________________________________ …pic.twitter.com/mUeUaz0mv9	ADE	9	213	doctors refuse to listen even to doctors dr duane graveline astronaut aerospace medical research scientist flight surgeon family doctor was given lipitor to his cholesterol temporarily lost his s t memory	10001526
SMM4H2022s1Zn22jgSVGrasWa	He looks a little bloated today. Adderall hangover is rough. He had to actually get up “early” for a cabinet meeting. Poor widdle buddy!	ADE	18	49	bloated today adderall hangover	10001623
SMM4H2022qZqN9jjRD5Bhk37E	changed brand of metformin and back on the ones that make me fart like buggery. #feelsorryformycats	ADE	61	78	fart like buggery	10003239
SMM4H2022aSuoYosdjB6Lb43q	who need alcohol when you have gabapentin and tramadol that makes you feel drunk at 12oclock	ADE	75	80	drunk	10016330
SMM4H2022wvj3sx6Qhv1O0syX	@USER______ i'm desperate for better diabetes education for my dr after nearly dying after misdiagnosed metformin induced lactic acidosis	ADE	123	131	acidosis	10027417
SMM4H2022iTRgAHEyjPzWS7vS	once i mixed mdma xanax and some vodka and that shit was fucken intense i was up all night hallucinating it was lit af	ADE	91	104	hallucinating	10002180
SMM4H20228vFMAL0NoDZpuQTZ	slept. ate. did yoga. lamictal + latuda = pain? any comments/opinions?	ADE	35	39	pain	10000081
SMM4H2022DZ5yPvaeicULnbXG	man i got oxycodone for my wisdom teeth and guess what, it makes me hyper not chill.	ADE	67	82	hyper not chill	10065235
SMM4H2022qcIAfmm6wDxbkbed	seroquel knocked me out last night probably bc i tried taking it nasally like the trash i am	ADE	9	72	knocked me out last night probably bc i tried taking it nasally	10029404
SMM4H2022wyRyym737XahkuqC	@USER_______ @USER_______ vimpat gives me crazy double vision, too. that reminds me... medicine time!	ADE	33	46	double vision	10004111
SMM4H2022iQ284c6TW4WGyXSA	ventolin makes me so weak holy shit	ADE	21	25	weak	10037466
SMM4H202294rFNyud0rCu9ntS	may have been the mix of diclofenac &amp; aspirin. heart started to beat fast, after focus wore off.	ADE	48	74	heart started to beat fast	10003674
SMM4H2022Qm3z9MPj6rlAB1O9	repeat methylcholine test today. bleh. i'm so shaky after the ventolin they gave me that perhaps coffee is not such a good idea.	ADE	44	49	shaky	10002855
SMM4H2022K93QunxZV2ni6V3I	@USER_______ right now i can't tell if i'm wide awake or exhausted. day 1 of cutting viibryd in half is almost complete.	ADE	36	59	wide awake or exhausted	10037482
SMM4H2022DUu1svzkMiSxcodR	after having an allergic reaction to remicade &amp; developing antibodies to humira i now have had a reaction to the flu &amp; pneumonia vaccines.	ADE	25	33	reaction	10000206
SMM4H2022q5XtQn60Y9Dr1edB	@USER_______ i used my kid's nebulizer with albuterol once. ho-lee crap. i was vibrating for like an hour.	ADE	70	79	vibrating	10065553
SMM4H2022bXp4SWpCCHCk9Hme	some people take too much synthroid and lose a bunch of weight. i feel like chewed-tobacco-for-the-first-time-sober high/sick.	ADE	40	62	lose a bunch of weight	10049084
SMM4H2022kkobwAqVNqA1GGuJ	Placebo can produce side-effects, desired effects and withdrawal!  Withdrawal from SSRIs is easy to manage. Can’t see what all the fuss is about. Venlafaxine is the exception because of the very short half life. But even then, easy in the hands of a good pharmacologist.   P	ADE	53	63	withdrawal	10061621
SMM4H2022xrg3OdTdfNFp7pUh	@USER________ @USER_____ Do Not over take Tylenol or Advil. Actually I'd stay away from tylenol and use Advil. That said. I did huge GI damage because of taking too much Advil. Desperate in pain, no Ultracet yet prescribed. (That said, my Ultracet is failing me epically).	ADE	116	118	gi	10061129
SMM4H2022ugDfMDBXl79sRcFc	@USER__ at least--though metoprolol did a number on my veins but not my mom's.(i think) didn't observe her.	ADE	46	57	on my veins	10061080
SMM4H2022Uam3u6R6hVIcVPTO	the only thing i hate about adderall is no appetite or sleep	ADE	40	60	no appetite or sleep	10021654
SMM4H2022CxdAD8SLUr1d4iCz	hello hughniverse! i've been away because i spent two weeks in the hospital. the enbrel i was taking helped my ra, but trashed my immune	ADE	116	133	trashed my immune	10000565
SMM4H2022C5Ub9pXNZm16kk9Q	@USER____ i was initially given temazepam - it made me feel worse than the pain..	ADE	54	73	worse than the pain	10002855
SMM4H2022Sw9eCZnIFfFAdXxC	protip: don't take tamiflu with an empty stomach. it'll make you feel really nauseous.	ADE	75	83	nauseous	10001938
SMM4H2022wHZlXxh2bN0k8r7B	victoza makes me have no appetite at all!! #thediabetty #diabetes #t1d #iwanttobeabletoeat	ADE	17	33	have no appetite	10021654
SMM4H2022oyrh7t24NyMKcR9M	@USER___________ @USER enbrel for sure gives me wings! and i can't eat! it's great!!	ADE	36	57	wings and i can t eat	10061148
SMM4H2022VbRv0HAR8toib8he	@USER___ the enbrel that i was taking to help my rheumatoid arthritis was doing a good job, but it crashed my immune system. it is a drug	ADE	95	119	crashed my immune system	10000565
SMM4H2022oE3t4lSFkbBVRdni	i've had ten tysabri infusions and i feel sick each and every time i get them for a few days up to a  week.  is this my life now?	ADE	42	46	sick	10015549
SMM4H2022znTrKAtvaUvXuK5R	@USER__________ partial complex on lamotrigine lacosamide zonisamide poor memory, trip over my tongue. anyone the same? #careerkiller	ADE	71	75	trip	10030188
SMM4H2022vCaziQH3QJ3UT0F4	@USER________ steady dose of meds, anti-inflams, pain killer and lots of water. uloric is by far best but kills ur gut.	ADE	101	107	ur gut	10038063
SMM4H2022mfB4wigpCvNrg2Zo	i'm gonna sue you bastards for making me take ventolin my whole life and now i can't get off the stuff	ADE	79	88	can t get	10044041
SMM4H20224MP1GA3NOzagBkI7	@USER__________ suboxone is making me gain weight. it sucks. did u gain weight? just curious	ADE	28	39	gain weight	10000188
SMM4H2022odUsfY8J2fykgcSm	@USER______ i started on tegretol &amp; now on pregabalin -make me spaced out!! i also take anoxicillin as i may have infection as well!	ADE	58	116	spaced out i also take anoxicillin as i may have infection	10069576
SMM4H2022MvLxh4YPLrctvN6I	viibryd has given me my life back, but the brain zaps i experience are so harsh that my entire body jolts, not just my head.	ADE	42	52	brain zaps	10012218
SMM4H202216KhQbF51FA32nPh	@USER_____ im poppin the prozac im having a panic attack follow me	ADE	39	51	panic attack	10033666
SMM4H2022DCr10RVidBQ2IBMB	everytime i take a adderall now at the end of the day i get sick and start puking	ADE	75	81	puking	10016256
SMM4H2022l7Pgsq4iyKPLmX5R	taking gabapentin is proving to be difficult... soo sleepy and hyper at the same time. chronic pain sucks!	ADE	49	95	sleepy and hyper at the same time chronic pain	10000630
SMM4H2022U81GrpMMl9UXzg0S	it's ironic that if you arent prescribed for it, taking adderall gives you adhd	ADE	55	78	adderall gives you adhd	10008479
SMM4H202252D8BlolcuyWgRWY	it's the enbrel that's causing the flushing and night sweats 😰   it's no wonder i feel the need to go roll around in the wet snow.	ADE	54	60	sweats	10020642
SMM4H2022cy2133eJIKHLU6wj	my afluria site is actually hurting tonight and temp is up .5 degrees. doubt i'm going to be staying up much longer #zzzzz	ADE	28	52	hurting tonight and temp	10045413
SMM4H20221cQFASFOS1MOk84T	took too many hits of ventolin this morning and am now remembering why i don't smoke crack anymore #shakinglikeapolaroidpicture	ADE	99	126	shakinglikeapolaroidpicture	10019114
SMM4H2022MK4mOq7LJg8Qu4aO	so now i'm on carvedilol 12.5mg per day, warfarin 3mg per day and dexlansoprazole 30mg per day. no wonder my body is slowly being ruined...	ADE	107	134	body is slowly being ruined	10022945
SMM4H2022eD7ek0FYm4Rlq9UU	provigil got me feelin like im having a cognitive transformation bigger than charlie in flowers for algernon.	ADE	31	71	having a cognitive transformation bigger	10068768
SMM4H2022eeI8WtUXdCDOwAkU	@USER__________ damn, i'm so proud of you!! i'm still limping from the levaquin cure for my pneumonia that dissolved left knee cartilage...	ADE	41	123	limping from the levaquin cure for my pneumonia that dissolved left knee cartilage	10035669
SMM4H2022LTdolNg03HL5PQZV	@USER__________ i will but the flow vent and advair helps so much they make you so shaky.	ADE	73	78	shaky	10069204
SMM4H2022YXZ49oLBgTYDH3id	@USER_____ glad that worked. humira made me sick, remicade stopped working, nothing works. cimzia on now, but not working well either	ADE	0	133	@USER_____ glad that worked. humira made me sick, remicade stopped working, nothing works. cimzia on now, but not working well either	10003118
SMM4H20224bnAO1DJSAuUaBII	3rd enbrel shot down! still burns like the dickens!	ADE	27	32	burns	10008422
SMM4H2022NwDNXPtXc3NXXPJ5	@USER______ yes thank you it was nice. i've not felt very good. heartburn because of the victoza my mail order was shipped late so i'm yucky	ADE	56	65	heartburn	10013946
SMM4H2022dvsUR2bwXApHtglg	@USER__________ @USER___ just switched from spiriva to tudorza, yesterday, because of dry mouth. hope it helps.	ADE	70	79	dry mouth	10013774
SMM4H2022hwYiqypodp6XSH5J	@USER_________ (tw body image) the gabapentin made me put weight on and i've never felt so bad about my own body before. people tell me	ADE	43	56	put weight on	10000159
SMM4H2022ohmwlhDKB1XPn3mb	Probably doesn't help when your etanercept leaves you feeling like death for the majority of the day. I'm exhausted, with Leeds tri Sunday..	ADE	54	72	feeling like death	10000060
SMM4H2022RuygMyKZzTq5oysz	recently it's really hurt when i use my enbrel epipen: those 10 seconds seem to last for ever.  any suggestions about what might help?	ADE	54	83	those 10 seconds seem to last	10006803
SMM4H2022KeZp4Pjlcg4JQV2O	has anyone ever taken pristiq before? i just got prescribed it because effexor made me nauseated does pristiq do the same thing?	ADE	86	95	nauseated	10070415
SMM4H2022ezKl1nxWE1U4SNaf	@USER________ hate prednisone yet need it. humira tried to kill me. so did remicade. so..	ADE	47	54	to kill	10080091
SMM4H20221CVwzj1j0WeskXde	@USER______ oh i was on buspirone for a while! it didn't do anythign for me tho. i asked bc ppl on effexor and pristiq get brainzaps as	ADE	115	124	brainzaps	10021430
SMM4H2022zSuCKIlROHf8vTG3	@USER_________ i had to get off lipitor. i hurt so bad i couldn't even get out of bed changed to crestor not as bad ur in my prayers	ADE	33	37	hurt	10065038
SMM4H2022mhJj5NUjeBKWkBJ8	@USER___________ going to add in atomoxetine for adhd, but due to strain on heart, have to lower venlafaxine :'(	ADE	54	69	strain on heart	10050031
SMM4H2022qiiqkaI6VJxOEi2K	@USER________ sure if it was bipolarity or adhd but since adderall didnt make me speedy its adhd? honestly not being able to afford help and having people constantly deny your shit is so hard. like i have virtually no memory now. my processing has vastly slowed in the past 5 years. and tbh-	ADE	0	291	@USER________ sure if it was bipolarity or adhd but since adderall didnt make me speedy its adhd? honestly not being able to afford help and having people constantly deny your shit is so hard. like i have virtually no memory now. my processing has vastly slowed in the past 5 years. and tbh-	10063935
SMM4H2022JZd17jELhsVD4SKq	why is it that people take gabapentin for recreational use. dose increase is making me hyperactive. will have clean house but broken body!	ADE	86	130	hyperactive will have clean house but broken	10037211
SMM4H20227JaniNIsANkMQBGJ	Off the Lipitor. No more rash.  But it was from power washing. Wasn't the meds.	ADE	24	28	rash	10012434
SMM4H2022GBvy78Ec2OXh6sUt	@USER___________ taking it for depression mainly but i'm skipping an extra dose each week, i'm on viibryd . yeah cymbalta made me dizzy	ADE	116	121	dizzy	10050100
SMM4H20227ap5BZLQtoUdm0qf	oh what a shitty day. forgot to take my geodon this morning and have had withdraws and anxiety all day. i would like to quit that shit.	ADE	72	81	withdraws	10050638
SMM4H2022uTOKHhbxb7qlevTE	Viibryd is the strongest thing I've ever been on. Missing a dose felt like missing 3. Withdrawal symptoms to the max	ADE	84	94	withdrawal	10061621
SMM4H2022mQ3wmI2VPLBf9LpE	@USER___________ see my neurologist friday the phenobarbital, dilantin, valium, &amp; neurontin control them, but can't atop 'em makes me sleepy	ADE	120	126	sleepy	10011091
SMM4H2022bcNYvaX3w7tInnF7	@USER___ on tecfidera since feb this year. all ok. slight flushing some days but nothing to worry about.	ADE	53	61	flushing	10016825
SMM4H2022DDyX4W3SI0KBi57y	last night @USER______ video chatted me while i was in a lunesta haze. i couldn't see or hear her, but knew she was there. weird	ADE	50	62	lunesta haze	10011035
SMM4H2022bddowmkPqtnvgW3g	@USER______ sorry to hear that. I was on Humira for 2 yrs, now Remicade for 9 mo. We must shake this fatigue!	ADE	92	99	fatigue	10036316
SMM4H20226zrjwtiY4okFe88Y	my right arm feels numb and tingly i think it's part of the medication i'm fine other wise dang crestor and atenolol 😕	ADE	19	34	numb and tingly	10058879
SMM4H2022aYA1QemNs8EMknTw	whenever i take loperamide i feel great that day but always feel awful the following day, anyone else the same? #crohns #crohnsproblem	ADE	29	70	feel great that day but always feel awful	10000173
SMM4H20226SatwJAHTXzvXryv	i'm so over metformin and progesterone, i seriously feel so drunk when i take them that i'm literally stumbling all over the place!	ADE	59	110	drunk when i take them that i m literally stumbling	10016330
SMM4H2022anaYOUHpyPWgM2zE	@USER____ the gabapentin is making me tired and the tramadol is making me light headed. am ok if busy but if not....#doublewhammy	ADE	70	82	light headed	10024459
SMM4H2022dfdLQK3s5VdASY4S	@USER__________ i haven't been diagnosed with pots but i do have orthostatic hypotension which they say is a side effect of namenda	ADE	31	78	with pots but i do have orthostatic hypotension	10031127
SMM4H2022FfrCqLkHhz29y0n9	@USER___ @USER__ @USER___ @USER___________ @USER_ I'm 5'2, and at my heaviest I was 215. At the time, I was on adderall, seroquel, wellbutrin, lithium, and zoloft. Which is insane! I was a total zombie and in college.  I lost the 80lbs. Yes, the loose skin is no fun. :(	ADE	195	200	80lbs	10068961
SMM4H2022Ys8iyvTW03X9uOpd	i am so damn sleepy today. i wonder if this is the avodart kicking in and getting rid of the last of the dht...	ADE	13	19	sleepy	10034018
SMM4H2022yhVJje5ZqXpGHdnd	@USER________ this guy i know take suboxone every time i get me some i take too much and get nauseous	ADE	85	93	nauseous	10022699
SMM4H2022p1NMdGuIEtPGHljb	no one ever tells you that lunesta gives you late night cravings until you can't fit into your dress pants for your presentation tonight.	ADE	56	106	cravings until you can t fit into your dress pants	10039906
SMM4H2022WbD4cvc5vXfoBiIU	@USER_ what meds are you on? Gabapentin /pregablin =horrible weight gain. Opiates can cause very bad nausea /stomach pains /vomiting...	ADE	57	68	weight gain	10000159
SMM4H2022kHiqC9Qq6YyUCJz7	@USER_______ just took a gabapentin now i'm sweating 😱	ADE	37	45	sweating	10042652
SMM4H20228YktPocQCzUCNBaN	advair is disgusting. in case you were wondering. it gobs up in my throat and i gag like the cat trying to hack up a hairball.	ADE	51	123	gobs up in my throat and i gag like the cat trying to hack up a hairball	10068319
SMM4H2022KmPIlrNduwWRhFfU	@USER___ i was on methotrexate but it wasn't working for me and causing tons of fatigue. i'll be on straight enbrel to start.	ADE	77	84	fatigue	10036316
SMM4H2022g6xgkC03OBnuxNU5	If u want memory loss keep popping those xanax	ADE	10	21	memory loss	10033848
SMM4H2022PiORX5tBVmxafsRJ	i hate saphris so much it's the worst thing i've ever been prescribed. fuck it makes my head hurt so much &amp; my mouth goes numb.	ADE	92	127	hurt so much amp my mouth goes numb	10057371
SMM4H2022ppcGuAW2q2L9bEzB	i hope my parents would have paid 500k for me to experience all of the best college things like snorting adderall off of desks, waking up in the hospital drunk, and gaining 45 pounds	ADE	163	180	gaining 45 pounds	10051919
SMM4H2022srQFafj2M8fgkE8v	after the last 2 days i have come to the conclusion that withdrawing from pristiq must be lost coming off heroin, fuuuuck	ADE	57	68	withdrawing	10004272
SMM4H2022ZSroEySOz8UFgBxM	@USER_____ @USER_____ wa iyyakum  pregabalin aka lyrica. good and expensive made by giant pfizer. very good but can make u a lil drowsy	ADE	115	121	drowsy	10058461
SMM4H2022GrcRSzb1lDS60cQ5	Partly post autism dx processing slump, but also reluctantly having to acknowledge mood is definitely suffering from reducing quetiapine a month ago	ADE	33	38	slump	10058298
SMM4H2022gwVwACG7rn9ll2r6	xan got me on some otha shit codeine lucid dreams bitch I bleed lean	ADE	37	49	lucid dreams	10000125
SMM4H2022uibXDfMAgvvvZCzD	as effective as enbrel is on my #rheum i really could do without the second-day hangover.	ADE	79	87	hangover	10001623
SMM4H2022xTSHtU0lSDcWelUZ	ugh! the cramps from these atorvastatin are awful	ADE	8	14	cramps	10000081
SMM4H20226TwXcyM0ocQOXK7k	ondansetron and dexlansoprazole y'all can start working now. my stomach is on fire and i would like to not vomit. #gastroparesis	ADE	63	81	stomach is on fire	10000087
SMM4H2022pZ7icVqWgeGL6oAv	@USER___________ i switched to humira in feb. i was on remicade for 3 yrs. it worked wonders at first but my body stopped responding :(	ADE	96	119	body stopped responding	10022945
SMM4H2022Sd33fNxblXqCnPW3	Doctor warned me a side effect of Advair was headache and to drink (about) a liter of water if I ended up with one.	ADE	45	53	headache	10043269
SMM4H2022f8czMtMQJ7spnz2I	so, my pregabalin was supposed to be being increased...but is now being decreased due to horrible dry eyes and mouth side effect. :(	ADE	99	113	eyes and mouth	10005169
SMM4H2022jhdJ1scYhRAUCwXe	@USER__________ i've tried it before and just on lunesta and trazadone, i still wake up throughout the night. lovely.	ADE	69	97	wake up throughout the night	10078086
SMM4H2022yWTizjUQRRSVfwfx	oh god never do a ventolin right before bed #jitterysteroids	ADE	44	59	jitterysteroids	10061641
SMM4H2022IXfIMU4qLe1jBSx1	@USER_______ 8 months of no treatment. went back to my original rheumy and she's trying to get me back on remi. i was allergic to enbrel	ADE	1	117	user 8 months of no treatment went back to my original rheumy and she s trying to get me back on remi i was allergic	10061111
SMM4H2022tM7xixaTiGtdPgM0	wondering if tamiflu could make one not sleep. me and mom cannot sleep.	ADE	36	45	not sleep	10061613
SMM4H20221tdxAkOnKgV74fDR	i stopped one pill and everything is cool except i still am shaky and i'm taking lunesta but i keep sleeping	ADE	60	108	shaky and i m taking lunesta but i keep sleeping	10022437
SMM4H2022Zu71RaiceVYelkRX	@USER__________ @USER_______ @USER_______ @USER_________ anyone vimpat having weight gain issues. daughter went from size 4 to 8.	ADE	42	53	weight gain	10000159
SMM4H2022zbqq6Caq8sycext3	Guys i have not been sleeping and on seroquel that is an amazing feat let me tell you	ADE	12	29	not been sleeping	10022437
SMM4H2022bVATRwZ3ymzHsZfx	@USER________ remicade did great for me for at least 5 to 6 years! no longer effective. started humira yesterday. sick today :-(	ADE	103	107	sick	10015549
SMM4H2022iBI6ZiGPrlGoTnmi	got off the heroin with suboxone then just built an addiction to that and can't get off em. when will it ever stop	ADE	52	61	addiction	10012335
SMM4H2022AmJ3vlSKlglNoRby	anyone on pristiq withdrawals?	ADE	18	29	withdrawals	10055122
